"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Protein Groups"
"-951770295276680131"	"False"	"High"	"IsMasterProtein"	"P09874"	"Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4"	"0.000"	"99.701"	"35"	"24"	"32"	"24"	"1014"	"113.0"	"8.88"	"76.86"	"24"	"1"
"-6252367434931231115"	"False"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3"	"0.000"	"97.718"	"16"	"27"	"28"	"27"	"2511"	"273.3"	"6.44"	"80.16"	"27"	"1"
"3602445909866352508"	"False"	"High"	"IsMasterProtein"	"P19338"	"Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3"	"0.000"	"96.700"	"30"	"16"	"24"	"16"	"710"	"76.6"	"4.70"	"84.94"	"16"	"1"
"-8785242188080332383"	"False"	"High"	"IsMasterProtein"	"P28838"	"Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3"	"0.000"	"95.653"	"37"	"16"	"34"	"16"	"519"	"56.1"	"7.93"	"93.99"	"16"	"1"
"-7115142250704838097"	"False"	"High"	"IsMasterProtein"	"P08670"	"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4"	"0.000"	"92.721"	"50"	"20"	"27"	"20"	"466"	"53.6"	"5.12"	"78.23"	"20"	"1"
"7989790464056543145"	"False"	"High"	"IsMasterProtein"	"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3"	"0.000"	"92.127"	"33"	"15"	"27"	"15"	"623"	"62.0"	"5.24"	"78.27"	"15"	"1"
"-93919318191628628"	"False"	"High"	"IsMasterProtein"	"Q92499"	"ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2"	"0.000"	"91.002"	"36"	"21"	"31"	"21"	"740"	"82.4"	"7.23"	"72.29"	"21"	"1"
"-7890686096526149286"	"False"	"High"	"IsMasterProtein"	"Q13347"	"Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1"	"0.000"	"90.293"	"47"	"11"	"29"	"11"	"325"	"36.5"	"5.64"	"96.51"	"11"	"1"
"-3997402182379015815"	"False"	"High"	"IsMasterProtein"	"O15371"	"Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1"	"0.000"	"89.577"	"35"	"15"	"23"	"15"	"548"	"63.9"	"6.05"	"70.15"	"15"	"1"
"7522921008615735421"	"False"	"High"	"IsMasterProtein"	"O75152"	"Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens OX=9606 GN=ZC3H11A PE=1 SV=3"	"0.000"	"87.181"	"29"	"21"	"23"	"21"	"810"	"89.1"	"8.37"	"66.72"	"21"	"1"
"7174373993236338878"	"False"	"High"	"IsMasterProtein"	"Q15233"	"Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4"	"0.000"	"84.502"	"28"	"13"	"37"	"12"	"471"	"54.2"	"8.95"	"74.51"	"13"	"1"
"-6719730535871434509"	"False"	"High"	"IsMasterProtein"	"P16989"	"Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4"	"0.000"	"84.205"	"40"	"9"	"16"	"6"	"372"	"40.1"	"9.77"	"55.26"	"9"	"1"
"1047119725647514999"	"False"	"High"	"IsMasterProtein"	"P23588"	"Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2"	"0.000"	"83.640"	"27"	"15"	"51"	"15"	"611"	"69.1"	"5.73"	"138.10"	"15"	"1"
"2337219862284108106"	"False"	"High"	"IsMasterProtein"	"Q9Y262"	"Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1"	"0.000"	"83.164"	"34"	"16"	"25"	"16"	"564"	"66.7"	"6.34"	"71.08"	"16"	"1"
"-5554010069989842743"	"False"	"High"	"IsMasterProtein"	"Q9BZZ5"	"Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3"	"0.000"	"80.412"	"33"	"16"	"23"	"16"	"524"	"59.0"	"7.34"	"62.77"	"16"	"1"
"-8122184501551353547"	"False"	"High"	"IsMasterProtein"	"Q9NZI8"	"Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2"	"0.000"	"77.307"	"30"	"14"	"25"	"13"	"577"	"63.4"	"9.20"	"75.63"	"14"	"1"
"3418914028943411131"	"False"	"High"	"IsMasterProtein"	"P29144"	"Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4"	"0.000"	"76.638"	"23"	"20"	"23"	"20"	"1249"	"138.3"	"6.32"	"62.90"	"20"	"1"
"7054273267636823051"	"False"	"High"	"IsMasterProtein"	"Q08211"	"ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4"	"0.000"	"73.326"	"18"	"18"	"19"	"18"	"1270"	"140.9"	"6.84"	"51.34"	"18"	"1"
"-3685433099080477965"	"False"	"High"	"None"	"Q32P51"	"Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens OX=9606 GN=HNRNPA1L2 PE=2 SV=2"	"0.000"	"72.262"	"23"	"11"	"26"	"8"	"320"	"34.2"	"9.00"	"76.31"	"11"	"1"
"-2836831182499166141"	"False"	"High"	"IsMasterProtein"	"O00148"	"ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2"	"0.000"	"71.614"	"33"	"16"	"36"	"4"	"427"	"49.1"	"5.68"	"85.21"	"16"	"1"
"7742249596596208262"	"False"	"High"	"IsMasterProtein"	"Q7KZF4"	"Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1"	"0.000"	"69.524"	"25"	"15"	"19"	"15"	"910"	"101.9"	"7.17"	"57.12"	"15"	"1"
"7001879318500673012"	"False"	"High"	"IsMasterProtein"	"P11940"	"Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2"	"0.000"	"68.247"	"22"	"14"	"20"	"10"	"636"	"70.6"	"9.50"	"55.41"	"14"	"1"
"-7204583767121549061"	"False"	"High"	"IsMasterProtein"	"Q6PL18"	"ATPase family AAA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ATAD2 PE=1 SV=1"	"0.000"	"68.154"	"19"	"18"	"20"	"18"	"1390"	"158.5"	"6.32"	"53.81"	"18"	"1"
"-2006906941817689569"	"False"	"High"	"IsMasterProtein"	"Q9Y520"	"Protein PRRC2C OS=Homo sapiens OX=9606 GN=PRRC2C PE=1 SV=4"	"0.000"	"68.041"	"10"	"18"	"19"	"18"	"2896"	"316.7"	"9.13"	"47.61"	"18"	"1"
"-5459324364456559330"	"False"	"High"	"IsMasterProtein"	"Q04637"	"Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4"	"0.000"	"67.737"	"17"	"20"	"22"	"18"	"1599"	"175.4"	"5.33"	"61.39"	"20"	"1"
"2613471079569612470"	"False"	"High"	"IsMasterProtein"	"P14866"	"Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2"	"0.000"	"67.394"	"26"	"10"	"17"	"10"	"589"	"64.1"	"8.22"	"52.16"	"10"	"1"
"6480137070562712140"	"False"	"High"	"IsMasterProtein"	"P07437"	"Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2"	"0.000"	"66.542"	"37"	"13"	"26"	"3"	"444"	"49.6"	"4.89"	"62.43"	"13"	"1"
"-8008274239603490952"	"False"	"High"	"IsMasterProtein"	"P51991"	"Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2"	"0.000"	"65.915"	"29"	"12"	"20"	"11"	"378"	"39.6"	"9.01"	"55.48"	"12"	"1"
"240711896831941506"	"False"	"High"	"IsMasterProtein"	"P23396"	"40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2"	"0.000"	"65.732"	"49"	"13"	"27"	"13"	"243"	"26.7"	"9.66"	"80.43"	"13"	"1"
"692688187917917011"	"False"	"High"	"IsMasterProtein"	"P82979"	"SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3"	"0.000"	"65.459"	"51"	"8"	"16"	"8"	"210"	"23.7"	"6.42"	"43.34"	"8"	"1"
"769140260772308897"	"False"	"High"	"IsMasterProtein"	"P07910"	"Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4"	"0.000"	"65.405"	"44"	"12"	"29"	"12"	"306"	"33.7"	"5.08"	"78.30"	"12"	"1"
"4366334861174983345"	"False"	"High"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1"	"0.000"	"64.904"	"33"	"11"	"23"	"10"	"451"	"50.1"	"5.06"	"57.60"	"11"	"1"
"6576828257658518084"	"False"	"High"	"IsMasterProteinCandidate"	"Q9BQE3"	"Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1"	"0.000"	"64.904"	"33"	"11"	"23"	"10"	"449"	"49.9"	"5.10"	"57.60"	"11"	"1"
"6674387397432112473"	"False"	"High"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1"	"0.000"	"63.954"	"37"	"13"	"24"	"4"	"445"	"49.8"	"4.89"	"60.73"	"13"	"1"
"-772083225745130744"	"False"	"High"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1"	"0.000"	"63.790"	"27"	"15"	"20"	"13"	"646"	"70.9"	"5.52"	"58.24"	"15"	"1"
"528371413836643526"	"False"	"High"	"IsMasterProtein"	"Q92945"	"Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4"	"0.000"	"63.484"	"31"	"15"	"16"	"15"	"711"	"73.1"	"7.30"	"49.14"	"15"	"1"
"1968544072233028588"	"False"	"High"	"IsMasterProtein"	"P23246"	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2"	"0.000"	"63.276"	"23"	"13"	"24"	"12"	"707"	"76.1"	"9.44"	"55.75"	"13"	"1"
"-1037069693652576559"	"False"	"High"	"IsMasterProtein"	"P31943"	"Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4"	"0.000"	"62.633"	"28"	"7"	"19"	"4"	"449"	"49.2"	"6.30"	"59.84"	"7"	"1"
"1603503262744250251"	"False"	"High"	"IsMasterProtein"	"P62805"	"Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2"	"0.000"	"62.512"	"54"	"10"	"25"	"10"	"103"	"11.4"	"11.36"	"78.00"	"10"	"1"
"562319574892213792"	"False"	"High"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3"	"0.000"	"62.204"	"44"	"12"	"19"	"12"	"335"	"36.0"	"8.46"	"51.36"	"12"	"1"
"5579729439990208910"	"False"	"High"	"IsMasterProtein"	"P06733"	"Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2"	"0.000"	"62.098"	"32"	"11"	"13"	"11"	"434"	"47.1"	"7.39"	"43.48"	"11"	"1"
"3546401136209877532"	"False"	"High"	"IsMasterProtein"	"O75821"	"Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2"	"0.000"	"62.001"	"37"	"10"	"18"	"10"	"320"	"35.6"	"6.13"	"58.39"	"10"	"1"
"2064522308959827201"	"False"	"High"	"IsMasterProtein"	"Q92841"	"Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2"	"0.000"	"61.883"	"26"	"18"	"32"	"14"	"729"	"80.2"	"8.27"	"83.04"	"18"	"1"
"7214058643654551286"	"False"	"High"	"IsMasterProtein"	"Q9Y3Y2"	"Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2"	"0.000"	"61.682"	"26"	"5"	"28"	"5"	"248"	"26.4"	"12.23"	"76.75"	"5"	"1"
"-806880739347862445"	"False"	"High"	"None"	"Q71U36"	"Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1"	"0.000"	"59.430"	"30"	"10"	"22"	"10"	"451"	"50.1"	"5.06"	"53.75"	"10"	"1"
"-8826261878749587371"	"False"	"High"	"IsMasterProtein"	"P39023"	"60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2"	"0.000"	"59.181"	"28"	"9"	"14"	"9"	"403"	"46.1"	"10.18"	"48.35"	"9"	"1"
"-515522588376759980"	"False"	"High"	"IsMasterProtein"	"O60506"	"Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2"	"0.000"	"58.314"	"31"	"12"	"15"	"10"	"623"	"69.6"	"8.59"	"45.46"	"12"	"1"
"-2946380844768102927"	"False"	"High"	"IsMasterProtein"	"Q96I24"	"Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2"	"0.000"	"58.004"	"27"	"11"	"15"	"9"	"572"	"61.6"	"8.38"	"42.12"	"11"	"1"
"-6403142608945012148"	"False"	"High"	"IsMasterProtein"	"Q8IX01"	"SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2"	"0.000"	"57.925"	"19"	"13"	"16"	"13"	"1082"	"120.1"	"7.28"	"51.66"	"13"	"1"
"8827666052570193854"	"False"	"High"	"IsMasterProtein"	"Q15056"	"Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5"	"0.000"	"57.480"	"44"	"8"	"32"	"8"	"248"	"27.4"	"7.23"	"98.75"	"8"	"1"
"-1205545228874989707"	"False"	"High"	"IsMasterProtein"	"Q92900"	"Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2"	"0.000"	"57.428"	"21"	"15"	"16"	"15"	"1129"	"124.3"	"6.61"	"44.14"	"15"	"1"
"-1822975009015350041"	"False"	"High"	"IsMasterProtein"	"P60228"	"Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1"	"0.000"	"56.313"	"39"	"14"	"19"	"14"	"445"	"52.2"	"6.04"	"46.15"	"14"	"1"
"5335677543697524354"	"False"	"High"	"IsMasterProtein"	"P17844"	"Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1"	"0.000"	"55.886"	"26"	"14"	"29"	"10"	"614"	"69.1"	"8.92"	"75.21"	"14"	"1"
"3968134916858178565"	"False"	"High"	"IsMasterProtein"	"P61247"	"40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2"	"0.000"	"55.874"	"30"	"10"	"20"	"10"	"264"	"29.9"	"9.73"	"50.10"	"10"	"1"
"-6268671224724585393"	"False"	"High"	"IsMasterProtein"	"P56945"	"Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2"	"0.000"	"55.315"	"20"	"9"	"13"	"9"	"870"	"93.3"	"5.67"	"44.76"	"9"	"1"
"2458252490920426752"	"False"	"High"	"IsMasterProtein"	"P16402"	"Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2"	"0.000"	"54.111"	"17"	"7"	"12"	"7"	"221"	"22.3"	"11.02"	"40.72"	"7"	"1"
"3079074271338885879"	"False"	"High"	"IsMasterProteinCandidate"	"P16403"	"Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2"	"0.000"	"54.111"	"18"	"7"	"12"	"7"	"213"	"21.4"	"10.93"	"40.72"	"7"	"1"
"2943690132932996841"	"False"	"High"	"IsMasterProteinCandidate"	"P10412"	"Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2"	"0.000"	"54.111"	"17"	"7"	"12"	"7"	"219"	"21.9"	"11.03"	"40.72"	"7"	"1"
"-174490317750568225"	"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	"0.000"	"53.478"	"29"	"8"	"17"	"4"	"375"	"41.7"	"5.48"	"42.65"	"8"	"1"
"6980118088250601043"	"False"	"High"	"IsMasterProteinCandidate"	"P63261"	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	"0.000"	"53.478"	"29"	"8"	"17"	"4"	"375"	"41.8"	"5.48"	"42.65"	"8"	"1"
"-5198752139468277763"	"False"	"High"	"IsMasterProtein"	"Q96PK6"	"RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2"	"0.000"	"53.243"	"20"	"12"	"17"	"12"	"669"	"69.4"	"9.67"	"43.24"	"12"	"1"
"2962281166201317424"	"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	"0.000"	"51.355"	"9"	"12"	"13"	"11"	"1960"	"226.4"	"5.60"	"39.06"	"12"	"1"
"-3306595998206250770"	"False"	"High"	"IsMasterProtein"	"P62753"	"40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1"	"0.000"	"51.261"	"22"	"6"	"11"	"6"	"249"	"28.7"	"10.84"	"39.43"	"6"	"1"
"-8282495750123490209"	"False"	"High"	"IsMasterProtein"	"Q96AE4"	"Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3"	"0.000"	"51.124"	"23"	"10"	"14"	"8"	"644"	"67.5"	"7.61"	"40.78"	"10"	"1"
"-8882498354911653551"	"False"	"High"	"IsMasterProtein"	"Q00341"	"Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2"	"0.000"	"50.233"	"18"	"14"	"15"	"14"	"1268"	"141.4"	"6.87"	"41.05"	"14"	"1"
"809495191273134722"	"False"	"High"	"IsMasterProtein"	"P42356"	"Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4"	"0.000"	"49.627"	"9"	"14"	"16"	"14"	"2102"	"236.7"	"7.06"	"37.94"	"14"	"1"
