"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Protein Groups"
"5608760324881979441"	"False"	"High"	"IsMasterProtein"	"O14646"	"Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2"	"0.000"	"192.826"	"22"	"31"	"45"	"25"	"1710"	"196.6"	"7.14"	"139.75"	"31"	"1"
"6102726942936219024"	"False"	"High"	"IsMasterProtein"	"Q14152"	"Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1"	"0.000"	"186.011"	"31"	"38"	"53"	"38"	"1382"	"166.5"	"6.79"	"161.17"	"38"	"1"
"4024286234021820395"	"False"	"High"	"IsMasterProtein"	"P78406"	"mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1"	"0.000"	"173.608"	"37"	"12"	"69"	"12"	"368"	"40.9"	"7.83"	"226.55"	"12"	"1"
"6208634135307330971"	"False"	"High"	"IsMasterProtein"	"P17480"	"Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1"	"0.000"	"171.265"	"28"	"22"	"52"	"22"	"764"	"89.4"	"5.81"	"152.45"	"22"	"1"
"-7722253779426460975"	"False"	"High"	"IsMasterProtein"	"O00571"	"ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3"	"0.000"	"160.438"	"37"	"26"	"52"	"25"	"662"	"73.2"	"7.18"	"150.60"	"26"	"1"
"-6605193621902288169"	"False"	"High"	"IsMasterProtein"	"P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2"	"0.000"	"158.589"	"50"	"23"	"42"	"17"	"639"	"65.4"	"8.00"	"133.78"	"23"	"1"
"3602445909866352508"	"False"	"High"	"IsMasterProtein"	"P19338"	"Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3"	"0.000"	"153.475"	"30"	"22"	"35"	"22"	"710"	"76.6"	"4.70"	"122.89"	"22"	"1"
"-265901885640742242"	"False"	"High"	"IsMasterProtein"	"Q03164"	"Histone-lysine N-methyltransferase 2A OS=Homo sapiens OX=9606 GN=KMT2A PE=1 SV=5"	"0.000"	"142.810"	"10"	"25"	"33"	"25"	"3969"	"431.5"	"9.09"	"101.46"	"25"	"1"
"-2854251612411499390"	"False"	"High"	"IsMasterProtein"	"NUP98-KDM5A"	"OS=Homo sapiens"	"0.000"	"142.586"	"20"	"15"	"110"	"15"	"728"	"75.2"	"9.06"	"275.50"	"15"	"1"
"945585302651271031"	"False"	"High"	"IsMasterProtein"	"P43243"	"Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2"	"0.000"	"140.829"	"31"	"20"	"29"	"20"	"847"	"94.6"	"6.25"	"97.25"	"20"	"1"
"-6296603921804072395"	"False"	"High"	"IsMasterProtein"	"Q9NSV4"	"Protein diaphanous homolog 3 OS=Homo sapiens OX=9606 GN=DIAPH3 PE=1 SV=4"	"0.000"	"136.433"	"24"	"24"	"37"	"24"	"1193"	"136.8"	"7.03"	"98.63"	"24"	"1"
"5778599060552415361"	"False"	"High"	"IsMasterProtein"	"P52272"	"Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3"	"0.000"	"132.286"	"35"	"20"	"39"	"20"	"730"	"77.5"	"8.70"	"105.02"	"20"	"1"
"6980118088250601043"	"False"	"High"	"IsMasterProteinCandidate"	"P63261"	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	"0.000"	"126.196"	"37"	"10"	"29"	"6"	"375"	"41.8"	"5.48"	"85.11"	"10"	"1"
"-174490317750568225"	"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	"0.000"	"126.196"	"37"	"10"	"29"	"6"	"375"	"41.7"	"5.48"	"85.11"	"10"	"1"
"-8785242188080332383"	"False"	"High"	"IsMasterProtein"	"P28838"	"Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3"	"0.000"	"124.290"	"42"	"20"	"33"	"20"	"519"	"56.1"	"7.93"	"103.30"	"20"	"1"
"-772083225745130744"	"False"	"High"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1"	"0.000"	"123.778"	"35"	"19"	"33"	"17"	"646"	"70.9"	"5.52"	"94.87"	"19"	"1"
"7340038753290804182"	"False"	"High"	"IsMasterProtein"	"Q9Y5B9"	"FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1"	"0.000"	"123.405"	"24"	"18"	"26"	"18"	"1047"	"119.8"	"5.66"	"84.24"	"18"	"1"
"-2089871811675690558"	"False"	"High"	"IsMasterProtein"	"P26599"	"Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1"	"0.000"	"113.274"	"44"	"12"	"23"	"12"	"531"	"57.2"	"9.17"	"92.93"	"12"	"1"
"5136159273712408888"	"False"	"High"	"IsMasterProtein"	"P38919"	"Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4"	"0.000"	"109.117"	"51"	"20"	"38"	"16"	"411"	"46.8"	"6.73"	"81.29"	"20"	"1"
"4612201996851868206"	"False"	"High"	"IsMasterProtein"	"O60281"	"Zinc finger protein 292 OS=Homo sapiens OX=9606 GN=ZNF292 PE=1 SV=3"	"0.000"	"106.607"	"14"	"23"	"27"	"23"	"2723"	"304.6"	"7.39"	"76.95"	"23"	"1"
"1618262664170988145"	"False"	"High"	"IsMasterProtein"	"P61978"	"Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1"	"0.000"	"106.218"	"34"	"15"	"26"	"15"	"463"	"50.9"	"5.54"	"92.76"	"15"	"1"
"3394918450034897638"	"False"	"High"	"IsMasterProtein"	"P55884"	"Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3"	"0.000"	"104.959"	"38"	"20"	"23"	"20"	"814"	"92.4"	"5.00"	"76.74"	"20"	"1"
"7054273267636823051"	"False"	"High"	"IsMasterProtein"	"Q08211"	"ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4"	"0.000"	"103.978"	"25"	"24"	"27"	"24"	"1270"	"140.9"	"6.84"	"78.12"	"24"	"1"
"562319574892213792"	"False"	"High"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3"	"0.000"	"103.650"	"56"	"13"	"23"	"13"	"335"	"36.0"	"8.46"	"77.67"	"13"	"1"
"6480137070562712140"	"False"	"High"	"IsMasterProtein"	"P07437"	"Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2"	"0.000"	"103.167"	"37"	"15"	"33"	"4"	"444"	"49.6"	"4.89"	"81.52"	"15"	"1"
"-7890686096526149286"	"False"	"High"	"IsMasterProtein"	"Q13347"	"Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1"	"0.000"	"103.119"	"43"	"10"	"19"	"10"	"325"	"36.5"	"5.64"	"72.60"	"10"	"1"
"1983440514863483257"	"False"	"High"	"None"	"O15523"	"ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2"	"0.000"	"102.060"	"24"	"18"	"37"	"17"	"660"	"73.1"	"7.55"	"105.09"	"18"	"1"
"6674387397432112473"	"False"	"High"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1"	"0.000"	"96.299"	"37"	"15"	"30"	"4"	"445"	"49.8"	"4.89"	"67.03"	"15"	"1"
"8006254010702621328"	"False"	"High"	"IsMasterProtein"	"P08779"	"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4"	"0.000"	"94.905"	"40"	"17"	"35"	"8"	"473"	"51.2"	"5.05"	"97.35"	"17"	"1"
"8372900262212064526"	"False"	"High"	"IsMasterProtein"	"P09651"	"Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5"	"0.000"	"93.567"	"30"	"11"	"26"	"9"	"372"	"38.7"	"9.13"	"79.99"	"11"	"1"
"-3997402182379015815"	"False"	"High"	"IsMasterProtein"	"O15371"	"Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1"	"0.000"	"92.149"	"38"	"13"	"16"	"13"	"548"	"63.9"	"6.05"	"52.74"	"13"	"1"
"-5922561171571103134"	"False"	"High"	"None"	"P29375"	"Lysine-specific demethylase 5A OS=Homo sapiens OX=9606 GN=KDM5A PE=1 SV=3"	"0.000"	"91.347"	"4"	"10"	"70"	"10"	"1690"	"192.0"	"6.49"	"177.44"	"10"	"1"
"5579729439990208910"	"False"	"High"	"IsMasterProtein"	"P06733"	"Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2"	"0.000"	"90.448"	"50"	"17"	"18"	"17"	"434"	"47.1"	"7.39"	"62.14"	"17"	"1"
"-1721823371863977969"	"False"	"High"	"IsMasterProtein"	"Q92973"	"Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2"	"0.000"	"88.704"	"19"	"15"	"23"	"12"	"898"	"102.3"	"4.98"	"71.42"	"15"	"1"
"-165801227635855458"	"False"	"High"	"IsMasterProtein"	"Q00839"	"Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6"	"0.000"	"88.218"	"20"	"13"	"22"	"13"	"825"	"90.5"	"6.00"	"72.84"	"13"	"1"
"2064522308959827201"	"False"	"High"	"IsMasterProtein"	"Q92841"	"Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2"	"0.000"	"87.524"	"28"	"21"	"30"	"17"	"729"	"80.2"	"8.27"	"76.70"	"21"	"1"
"6794455486921931885"	"False"	"High"	"IsMasterProtein"	"P55201"	"Peregrin OS=Homo sapiens OX=9606 GN=BRPF1 PE=1 SV=2"	"0.000"	"87.103"	"18"	"15"	"24"	"15"	"1214"	"137.4"	"7.93"	"65.46"	"15"	"1"
"528371413836643526"	"False"	"High"	"IsMasterProtein"	"Q92945"	"Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4"	"0.000"	"86.999"	"32"	"15"	"19"	"14"	"711"	"73.1"	"7.30"	"55.07"	"15"	"1"
"-1037069693652576559"	"False"	"High"	"IsMasterProtein"	"P31943"	"Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4"	"0.000"	"86.828"	"22"	"6"	"16"	"3"	"449"	"49.2"	"6.30"	"60.38"	"6"	"1"
"6174842833444890787"	"False"	"High"	"IsMasterProteinCandidate"	"Q99613"	"Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1"	"0.000"	"85.618"	"21"	"17"	"26"	"17"	"913"	"105.3"	"5.68"	"69.87"	"17"	"1"
"-3009900426920291332"	"False"	"High"	"IsMasterProtein"	"B5ME19"	"Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1"	"0.000"	"85.618"	"21"	"17"	"26"	"17"	"914"	"105.4"	"5.64"	"69.87"	"17"	"1"
"6488855965708197639"	"False"	"High"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4"	"0.000"	"85.596"	"31"	"13"	"17"	"13"	"531"	"57.9"	"7.84"	"59.36"	"13"	"1"
"2943690132932996841"	"False"	"High"	"IsMasterProteinCandidate"	"P10412"	"Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2"	"0.000"	"83.168"	"23"	"10"	"16"	"10"	"219"	"21.9"	"11.03"	"55.01"	"10"	"1"
"2458252490920426752"	"False"	"High"	"IsMasterProtein"	"P16402"	"Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2"	"0.000"	"83.168"	"23"	"10"	"16"	"10"	"221"	"22.3"	"11.02"	"55.01"	"10"	"1"
"-7500020878555026308"	"False"	"High"	"IsMasterProtein"	"Q9BZE4"	"Nucleolar GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3"	"0.000"	"82.644"	"32"	"17"	"19"	"17"	"634"	"73.9"	"9.50"	"59.42"	"17"	"1"
"2337219862284108106"	"False"	"High"	"IsMasterProtein"	"Q9Y262"	"Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1"	"0.000"	"82.400"	"35"	"17"	"19"	"17"	"564"	"66.7"	"6.34"	"63.29"	"17"	"1"
"1074215629290594570"	"False"	"High"	"IsMasterProtein"	"P22626"	"Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2"	"0.000"	"81.118"	"42"	"11"	"17"	"10"	"353"	"37.4"	"8.95"	"59.76"	"11"	"1"
"6733467377289635687"	"False"	"High"	"IsMasterProtein"	"Q13838"	"Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1"	"0.000"	"80.786"	"33"	"14"	"22"	"5"	"428"	"49.0"	"5.67"	"61.95"	"14"	"1"
"5288684708523747991"	"False"	"High"	"IsMasterProtein"	"Q14240"	"Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2"	"0.000"	"80.552"	"48"	"17"	"40"	"7"	"407"	"46.4"	"5.48"	"96.56"	"17"	"1"
"500586164942944818"	"False"	"High"	"IsMasterProtein"	"P67809"	"Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3"	"0.000"	"80.443"	"51"	"10"	"17"	"7"	"324"	"35.9"	"9.88"	"41.96"	"10"	"1"
"-7115142250704838097"	"False"	"High"	"IsMasterProtein"	"P08670"	"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4"	"0.000"	"80.400"	"39"	"14"	"19"	"14"	"466"	"53.6"	"5.12"	"55.90"	"14"	"1"
"3079074271338885879"	"False"	"High"	"None"	"P16403"	"Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2"	"0.000"	"79.808"	"23"	"9"	"15"	"9"	"213"	"21.4"	"10.93"	"52.04"	"9"	"1"
"-1474010075378452952"	"False"	"High"	"IsMasterProtein"	"P15924"	"Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3"	"0.000"	"79.078"	"10"	"22"	"23"	"22"	"2871"	"331.6"	"6.81"	"52.36"	"22"	"1"
"4842001087563209976"	"False"	"High"	"IsMasterProtein"	"Q9NVN8"	"Guanine nucleotide-binding protein-like 3-like protein OS=Homo sapiens OX=9606 GN=GNL3L PE=1 SV=1"	"0.000"	"78.918"	"25"	"10"	"15"	"9"	"582"	"65.5"	"8.44"	"53.44"	"10"	"1"
"3418914028943411131"	"False"	"High"	"IsMasterProtein"	"P29144"	"Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4"	"0.000"	"76.818"	"20"	"18"	"19"	"18"	"1249"	"138.3"	"6.32"	"49.60"	"18"	"1"
"-8487408262660345487"	"False"	"High"	"IsMasterProtein"	"P11388"	"DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3"	"0.000"	"76.068"	"16"	"16"	"20"	"12"	"1531"	"174.3"	"8.72"	"56.76"	"16"	"1"
"1603503262744250251"	"False"	"High"	"IsMasterProtein"	"P62805"	"Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2"	"0.000"	"75.875"	"56"	"8"	"27"	"8"	"103"	"11.4"	"11.36"	"74.79"	"8"	"1"
"4769002131436570839"	"False"	"High"	"IsMasterProtein"	"Q00610"	"Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5"	"0.000"	"75.449"	"14"	"14"	"18"	"14"	"1675"	"191.5"	"5.69"	"53.58"	"14"	"1"
"-7740854368523393254"	"False"	"High"	"IsMasterProtein"	"Q9NR30"	"Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5"	"0.000"	"75.312"	"29"	"20"	"22"	"19"	"783"	"87.3"	"9.28"	"63.23"	"20"	"1"
"2758380383998066899"	"False"	"High"	"IsMasterProtein"	"Q86V81"	"THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3"	"0.000"	"75.078"	"46"	"7"	"20"	"7"	"257"	"26.9"	"11.15"	"62.52"	"7"	"1"
"8408211072324921186"	"False"	"High"	"IsMasterProtein"	"P78344"	"Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1"	"0.000"	"73.933"	"24"	"16"	"19"	"16"	"907"	"102.3"	"7.14"	"50.25"	"16"	"1"
"-6496925005546959600"	"False"	"High"	"IsMasterProteinRejected"	"Q13509"	"Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2"	"0.000"	"73.326"	"24"	"11"	"24"	"0"	"450"	"50.4"	"4.93"	"52.99"	"11"	"0"
"-8649453304125061400"	"False"	"High"	"IsMasterProtein"	"Q12906"	"Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3"	"0.000"	"72.932"	"20"	"10"	"14"	"10"	"894"	"95.3"	"8.76"	"42.62"	"10"	"1"
"-933507358187812304"	"False"	"High"	"IsMasterProtein"	"P48634"	"Protein PRRC2A OS=Homo sapiens OX=9606 GN=PRRC2A PE=1 SV=3"	"0.000"	"72.659"	"11"	"14"	"16"	"14"	"2157"	"228.7"	"9.45"	"49.04"	"14"	"1"
"-5279545747934132258"	"False"	"High"	"None"	"P04350"	"Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2"	"0.000"	"72.307"	"28"	"11"	"24"	"3"	"444"	"49.6"	"4.88"	"51.35"	"11"	"1"
"-6252367434931231115"	"False"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3"	"0.000"	"71.635"	"10"	"15"	"16"	"15"	"2511"	"273.3"	"6.44"	"49.94"	"15"	"1"
"2214005141303334461"	"False"	"High"	"IsMasterProtein"	"P12956"	"X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2"	"0.000"	"70.526"	"32"	"14"	"16"	"14"	"609"	"69.8"	"6.64"	"47.74"	"14"	"1"
"-8008274239603490952"	"False"	"High"	"IsMasterProtein"	"P51991"	"Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2"	"0.000"	"69.176"	"30"	"12"	"17"	"11"	"378"	"39.6"	"9.01"	"48.28"	"12"	"1"
"1737787773374733673"	"False"	"High"	"IsMasterProtein"	"P12277"	"Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1"	"0.000"	"68.295"	"35"	"9"	"12"	"9"	"381"	"42.6"	"5.59"	"44.41"	"9"	"1"
"3602347345364685954"	"False"	"High"	"IsMasterProtein"	"P09429"	"High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3"	"0.000"	"67.351"	"23"	"8"	"15"	"8"	"215"	"24.9"	"5.74"	"44.95"	"8"	"1"
"7174373993236338878"	"False"	"High"	"IsMasterProtein"	"Q15233"	"Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4"	"0.000"	"67.244"	"28"	"12"	"23"	"11"	"471"	"54.2"	"8.95"	"60.79"	"12"	"1"
"4366334861174983345"	"False"	"High"	"IsMasterProteinCandidate"	"P68363"	"Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1"	"0.000"	"67.063"	"29"	"9"	"16"	"9"	"451"	"50.1"	"5.06"	"45.68"	"9"	"1"
"-806880739347862445"	"False"	"High"	"IsMasterProtein"	"Q71U36"	"Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1"	"0.000"	"67.063"	"29"	"9"	"16"	"9"	"451"	"50.1"	"5.06"	"45.68"	"9"	"1"
"6576828257658518084"	"False"	"High"	"IsMasterProteinCandidate"	"Q9BQE3"	"Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1"	"0.000"	"67.063"	"29"	"9"	"16"	"9"	"449"	"49.9"	"5.10"	"45.68"	"9"	"1"
"8417235359346522376"	"False"	"High"	"IsMasterProtein"	"Q9NR12"	"PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1"	"0.000"	"67.043"	"49"	"12"	"18"	"12"	"457"	"49.8"	"8.41"	"53.68"	"12"	"1"
"-2746041825889845794"	"False"	"High"	"IsMasterProtein"	"Q15059"	"Bromodomain-containing protein 3 OS=Homo sapiens OX=9606 GN=BRD3 PE=1 SV=1"	"0.000"	"66.563"	"24"	"13"	"16"	"10"	"726"	"79.5"	"9.36"	"46.17"	"13"	"1"
"6473886272279589766"	"False"	"High"	"IsMasterProtein"	"Q9Y2X9"	"Zinc finger protein 281 OS=Homo sapiens OX=9606 GN=ZNF281 PE=1 SV=1"	"0.000"	"66.380"	"28"	"12"	"15"	"12"	"895"	"96.9"	"8.48"	"53.56"	"12"	"1"
"1047119725647514999"	"False"	"High"	"IsMasterProtein"	"P23588"	"Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2"	"0.000"	"65.986"	"21"	"11"	"31"	"11"	"611"	"69.1"	"5.73"	"88.41"	"11"	"1"
"-1936662048644361405"	"False"	"High"	"IsMasterProtein"	"P55060"	"Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3"	"0.000"	"65.836"	"19"	"17"	"24"	"17"	"971"	"110.3"	"5.77"	"57.43"	"17"	"1"
"7989790464056543145"	"False"	"High"	"IsMasterProtein"	"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3"	"0.000"	"64.758"	"28"	"11"	"18"	"11"	"623"	"62.0"	"5.24"	"55.53"	"11"	"1"
"-6086246065885053041"	"False"	"High"	"IsMasterProtein"	"P02533"	"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4"	"0.000"	"63.507"	"30"	"15"	"30"	"4"	"472"	"51.5"	"5.16"	"77.67"	"15"	"1"
"-410325427073227732"	"False"	"High"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1"	"0.000"	"63.469"	"40"	"11"	"17"	"5"	"462"	"50.1"	"9.01"	"54.83"	"11"	"1"
"61926280635528933"	"False"	"High"	"IsMasterProtein"	"O60885"	"Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2"	"0.000"	"63.463"	"15"	"15"	"18"	"10"	"1362"	"152.1"	"9.19"	"48.36"	"15"	"1"
