"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Protein Groups"
"-4155367153969888648"	"False"	"High"	"IsMasterProtein"	"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6"	"0.000"	"115.078"	"38"	"21"	"37"	"19"	"584"	"58.8"	"5.21"	"94.91"	"21"	"1"
"5778599060552415361"	"False"	"High"	"IsMasterProtein"	"P52272"	"Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3"	"0.000"	"113.456"	"35"	"19"	"37"	"19"	"730"	"77.5"	"8.70"	"91.25"	"19"	"1"
"1618262664170988145"	"False"	"High"	"IsMasterProtein"	"P61978"	"Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1"	"0.000"	"112.808"	"40"	"16"	"29"	"16"	"463"	"50.9"	"5.54"	"85.13"	"16"	"1"
"945585302651271031"	"False"	"High"	"IsMasterProtein"	"P43243"	"Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2"	"0.000"	"107.471"	"34"	"20"	"31"	"20"	"847"	"94.6"	"6.25"	"61.22"	"20"	"1"
"4751284344252295029"	"False"	"High"	"IsMasterProtein"	"P06748"	"Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2"	"0.000"	"106.805"	"34"	"5"	"16"	"5"	"294"	"32.6"	"4.78"	"70.69"	"5"	"1"
"1983440514863483257"	"False"	"High"	"None"	"O15523"	"ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2"	"0.000"	"104.326"	"25"	"20"	"56"	"19"	"660"	"73.1"	"7.55"	"119.39"	"20"	"1"
"6480137070562712140"	"False"	"High"	"IsMasterProtein"	"P07437"	"Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2"	"0.000"	"103.825"	"42"	"17"	"38"	"4"	"444"	"49.6"	"4.89"	"90.86"	"17"	"1"
"1074215629290594570"	"False"	"High"	"IsMasterProtein"	"P22626"	"Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2"	"0.000"	"103.721"	"55"	"14"	"25"	"12"	"353"	"37.4"	"8.95"	"76.27"	"14"	"1"
"5288684708523747991"	"False"	"High"	"IsMasterProtein"	"Q14240"	"Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2"	"0.000"	"103.505"	"53"	"18"	"75"	"9"	"407"	"46.4"	"5.48"	"172.46"	"18"	"1"
"6980118088250601043"	"False"	"High"	"IsMasterProteinCandidate"	"P63261"	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	"0.000"	"97.429"	"37"	"11"	"36"	"7"	"375"	"41.8"	"5.48"	"89.92"	"11"	"1"
"-174490317750568225"	"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	"0.000"	"97.429"	"37"	"11"	"36"	"7"	"375"	"41.7"	"5.48"	"89.92"	"11"	"1"
"2962281166201317424"	"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	"0.000"	"91.965"	"13"	"19"	"21"	"17"	"1960"	"226.4"	"5.60"	"61.60"	"19"	"1"
"500586164942944818"	"False"	"High"	"IsMasterProtein"	"P67809"	"Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3"	"0.000"	"87.169"	"48"	"10"	"22"	"6"	"324"	"35.9"	"9.88"	"61.30"	"10"	"1"
"2758380383998066899"	"False"	"High"	"IsMasterProtein"	"Q86V81"	"THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3"	"0.000"	"86.492"	"32"	"6"	"24"	"6"	"257"	"26.9"	"11.15"	"70.08"	"6"	"1"
"8408211072324921186"	"False"	"High"	"IsMasterProtein"	"P78344"	"Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1"	"0.000"	"86.160"	"27"	"19"	"25"	"19"	"907"	"102.3"	"7.14"	"65.23"	"19"	"1"
"6174842833444890787"	"False"	"High"	"IsMasterProteinCandidate"	"Q99613"	"Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1"	"0.000"	"83.253"	"21"	"16"	"24"	"16"	"913"	"105.3"	"5.68"	"60.21"	"16"	"1"
"-3009900426920291332"	"False"	"High"	"IsMasterProtein"	"B5ME19"	"Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1"	"0.000"	"83.253"	"21"	"16"	"24"	"16"	"914"	"105.4"	"5.64"	"60.21"	"16"	"1"
"-772083225745130744"	"False"	"High"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1"	"0.000"	"80.979"	"31"	"17"	"25"	"15"	"646"	"70.9"	"5.52"	"63.98"	"17"	"1"
"2337219862284108106"	"False"	"High"	"IsMasterProtein"	"Q9Y262"	"Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1"	"0.000"	"80.429"	"36"	"16"	"22"	"16"	"564"	"66.7"	"6.34"	"56.42"	"16"	"1"
"-5459324364456559330"	"False"	"High"	"IsMasterProtein"	"Q04637"	"Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4"	"0.000"	"79.790"	"19"	"21"	"26"	"21"	"1599"	"175.4"	"5.33"	"57.17"	"21"	"1"
"5136159273712408888"	"False"	"High"	"IsMasterProtein"	"P38919"	"Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4"	"0.000"	"79.524"	"48"	"18"	"31"	"15"	"411"	"46.8"	"6.73"	"73.38"	"18"	"1"
"-8122184501551353547"	"False"	"High"	"IsMasterProtein"	"Q9NZI8"	"Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2"	"0.000"	"78.703"	"25"	"12"	"21"	"11"	"577"	"63.4"	"9.20"	"57.07"	"12"	"1"
"-3997402182379015815"	"False"	"High"	"IsMasterProtein"	"O15371"	"Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1"	"0.000"	"77.164"	"32"	"13"	"20"	"13"	"548"	"63.9"	"6.05"	"54.47"	"13"	"1"
"-6296603921804072395"	"False"	"High"	"IsMasterProtein"	"Q9NSV4"	"Protein diaphanous homolog 3 OS=Homo sapiens OX=9606 GN=DIAPH3 PE=1 SV=4"	"0.000"	"76.995"	"20"	"21"	"23"	"21"	"1193"	"136.8"	"7.03"	"53.34"	"21"	"1"
"7054273267636823051"	"False"	"High"	"IsMasterProtein"	"Q08211"	"ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4"	"0.000"	"76.956"	"22"	"19"	"19"	"19"	"1270"	"140.9"	"6.84"	"51.14"	"19"	"1"
"6674387397432112473"	"False"	"High"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1"	"0.000"	"76.662"	"38"	"16"	"30"	"4"	"445"	"49.8"	"4.89"	"63.40"	"16"	"1"
"-7890686096526149286"	"False"	"High"	"IsMasterProtein"	"Q13347"	"Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1"	"0.000"	"76.105"	"42"	"11"	"16"	"11"	"325"	"36.5"	"5.64"	"54.37"	"11"	"1"
"3602445909866352508"	"False"	"High"	"IsMasterProtein"	"P19338"	"Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3"	"0.000"	"73.995"	"23"	"13"	"18"	"13"	"710"	"76.6"	"4.70"	"51.82"	"13"	"1"
"2333660704476735765"	"False"	"High"	"IsMasterProtein"	"O15397"	"Importin-8 OS=Homo sapiens OX=9606 GN=IPO8 PE=1 SV=2"	"0.000"	"72.637"	"17"	"15"	"19"	"15"	"1037"	"119.9"	"5.16"	"54.02"	"15"	"1"
"3418914028943411131"	"False"	"High"	"IsMasterProtein"	"P29144"	"Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4"	"0.000"	"71.229"	"21"	"19"	"22"	"19"	"1249"	"138.3"	"6.32"	"54.72"	"19"	"1"
"7742249596596208262"	"False"	"High"	"IsMasterProtein"	"Q7KZF4"	"Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1"	"0.000"	"70.912"	"26"	"17"	"17"	"17"	"910"	"101.9"	"7.17"	"48.31"	"17"	"1"
"-165801227635855458"	"False"	"High"	"IsMasterProtein"	"Q00839"	"Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6"	"0.000"	"69.596"	"15"	"9"	"18"	"9"	"825"	"90.5"	"6.00"	"54.52"	"9"	"1"
"-1721823371863977969"	"False"	"High"	"IsMasterProtein"	"Q92973"	"Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2"	"0.000"	"68.871"	"15"	"14"	"20"	"14"	"898"	"102.3"	"4.98"	"45.23"	"14"	"1"
"-2089871811675690558"	"False"	"High"	"IsMasterProtein"	"P26599"	"Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1"	"0.000"	"68.266"	"38"	"11"	"18"	"11"	"531"	"57.2"	"9.17"	"54.86"	"11"	"1"
"-1822975009015350041"	"False"	"High"	"IsMasterProtein"	"P60228"	"Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1"	"0.000"	"68.102"	"30"	"11"	"19"	"11"	"445"	"52.2"	"6.04"	"46.77"	"11"	"1"
"-6719730535871434509"	"False"	"High"	"IsMasterProtein"	"P16989"	"Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4"	"0.000"	"67.844"	"40"	"9"	"13"	"5"	"372"	"40.1"	"9.77"	"36.18"	"9"	"1"
"7174373993236338878"	"False"	"High"	"IsMasterProtein"	"Q15233"	"Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4"	"0.000"	"66.607"	"28"	"11"	"27"	"10"	"471"	"54.2"	"8.95"	"58.88"	"11"	"1"
"-8008274239603490952"	"False"	"High"	"IsMasterProtein"	"P51991"	"Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2"	"0.000"	"66.547"	"29"	"11"	"16"	"10"	"378"	"39.6"	"9.01"	"42.87"	"11"	"1"
"8250102899765152791"	"False"	"High"	"IsMasterProtein"	"Q9BVA1"	"Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1"	"0.000"	"65.234"	"29"	"14"	"27"	"3"	"445"	"49.9"	"4.89"	"61.23"	"14"	"1"
"-5376062369618088086"	"False"	"High"	"IsMasterProtein"	"P01834"	"Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2"	"0.000"	"65.102"	"49"	"4"	"13"	"4"	"107"	"11.8"	"6.52"	"50.24"	"4"	"1"
"4366334861174983345"	"False"	"High"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1"	"0.000"	"62.762"	"37"	"11"	"22"	"10"	"451"	"50.1"	"5.06"	"51.57"	"11"	"1"
"6576828257658518084"	"False"	"High"	"IsMasterProteinCandidate"	"Q9BQE3"	"Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1"	"0.000"	"62.762"	"37"	"11"	"22"	"10"	"449"	"49.9"	"5.10"	"51.57"	"11"	"1"
"6488855965708197639"	"False"	"High"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4"	"0.000"	"62.511"	"27"	"12"	"15"	"12"	"531"	"57.9"	"7.84"	"41.64"	"12"	"1"
"240711896831941506"	"False"	"High"	"IsMasterProtein"	"P23396"	"40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2"	"0.000"	"61.445"	"55"	"13"	"22"	"13"	"243"	"26.7"	"9.66"	"61.25"	"13"	"1"
"-6252367434931231115"	"False"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3"	"0.000"	"60.415"	"10"	"18"	"18"	"18"	"2511"	"273.3"	"6.44"	"46.21"	"18"	"1"
"-7048585715635486560"	"False"	"High"	"None"	"Q13885"	"Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1"	"0.000"	"60.219"	"27"	"13"	"26"	"2"	"445"	"49.9"	"4.89"	"57.94"	"13"	"1"
"6733467377289635687"	"False"	"High"	"IsMasterProtein"	"Q13838"	"Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1"	"0.000"	"59.803"	"33"	"12"	"20"	"5"	"428"	"49.0"	"5.67"	"56.26"	"12"	"1"
"-6496925005546959600"	"False"	"High"	"IsMasterProteinRejected"	"Q13509"	"Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2"	"0.000"	"59.425"	"24"	"11"	"28"	"0"	"450"	"50.4"	"4.93"	"60.86"	"11"	"0"
"2064522308959827201"	"False"	"High"	"IsMasterProtein"	"Q92841"	"Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2"	"0.000"	"58.991"	"23"	"15"	"26"	"12"	"729"	"80.2"	"8.27"	"61.71"	"15"	"1"
"-6605193621902288169"	"False"	"High"	"IsMasterProtein"	"P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2"	"0.000"	"58.919"	"24"	"15"	"20"	"10"	"639"	"65.4"	"8.00"	"49.19"	"15"	"1"
"769140260772308897"	"False"	"High"	"IsMasterProtein"	"P07910"	"Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4"	"0.000"	"58.483"	"34"	"10"	"21"	"10"	"306"	"33.7"	"5.08"	"50.51"	"10"	"1"
"-1037069693652576559"	"False"	"High"	"IsMasterProtein"	"P31943"	"Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4"	"0.000"	"57.704"	"22"	"6"	"13"	"3"	"449"	"49.2"	"6.30"	"40.95"	"6"	"1"
"8372900262212064526"	"False"	"High"	"IsMasterProtein"	"P09651"	"Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5"	"0.000"	"57.660"	"30"	"10"	"17"	"8"	"372"	"38.7"	"9.13"	"42.59"	"10"	"1"
"1968544072233028588"	"False"	"High"	"IsMasterProtein"	"P23246"	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2"	"0.000"	"56.738"	"19"	"11"	"17"	"10"	"707"	"76.1"	"9.44"	"43.82"	"11"	"1"
"528371413836643526"	"False"	"High"	"IsMasterProtein"	"Q92945"	"Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4"	"0.000"	"56.421"	"29"	"12"	"15"	"11"	"711"	"73.1"	"7.30"	"39.17"	"12"	"1"
"-93919318191628628"	"False"	"High"	"IsMasterProtein"	"Q92499"	"ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2"	"0.000"	"56.269"	"30"	"17"	"17"	"17"	"740"	"82.4"	"7.23"	"41.39"	"17"	"1"
"2236542177406705002"	"False"	"High"	"IsMasterProtein"	"P52597"	"Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3"	"0.000"	"56.217"	"31"	"7"	"13"	"6"	"415"	"45.6"	"5.58"	"36.04"	"7"	"1"
"5579729439990208910"	"False"	"High"	"IsMasterProtein"	"P06733"	"Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2"	"0.000"	"56.077"	"41"	"12"	"13"	"12"	"434"	"47.1"	"7.39"	"37.03"	"12"	"1"
"4769002131436570839"	"False"	"High"	"IsMasterProtein"	"Q00610"	"Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5"	"0.000"	"55.584"	"11"	"14"	"15"	"14"	"1675"	"191.5"	"5.69"	"42.81"	"14"	"1"
"-5279545747934132258"	"False"	"High"	"None"	"P04350"	"Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2"	"0.000"	"55.570"	"28"	"11"	"24"	"3"	"444"	"49.6"	"4.88"	"47.56"	"11"	"1"
"562319574892213792"	"False"	"High"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3"	"0.000"	"55.293"	"46"	"12"	"20"	"12"	"335"	"36.0"	"8.46"	"50.46"	"12"	"1"
"-3970443704612931563"	"False"	"High"	"IsMasterProtein"	"P36578"	"60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5"	"0.000"	"54.983"	"28"	"13"	"14"	"13"	"427"	"47.7"	"11.06"	"34.39"	"13"	"1"
"-806880739347862445"	"False"	"High"	"None"	"Q71U36"	"Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1"	"0.000"	"54.317"	"33"	"10"	"20"	"10"	"451"	"50.1"	"5.06"	"45.91"	"10"	"1"
"-2836831182499166141"	"False"	"High"	"IsMasterProtein"	"O00148"	"ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2"	"0.000"	"53.975"	"22"	"9"	"17"	"2"	"427"	"49.1"	"5.68"	"49.92"	"9"	"1"
"-410325427073227732"	"False"	"High"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1"	"0.000"	"53.770"	"24"	"9"	"15"	"9"	"462"	"50.1"	"9.01"	"48.31"	"9"	"1"
"7690933720663081637"	"False"	"High"	"IsMasterProteinCandidate"	"Q5VTE0"	"Putative elongation factor 1-alpha-like 3 OS=Homo sapiens OX=9606 GN=EEF1A1P5 PE=5 SV=1"	"0.000"	"53.770"	"24"	"9"	"15"	"9"	"462"	"50.2"	"9.07"	"48.31"	"9"	"1"
"-3973589334991488607"	"False"	"High"	"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6"	"0.000"	"53.470"	"22"	"13"	"16"	"11"	"644"	"66.0"	"8.12"	"43.28"	"13"	"1"
"7001879318500673012"	"False"	"High"	"IsMasterProtein"	"P11940"	"Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2"	"0.000"	"53.446"	"14"	"8"	"13"	"5"	"636"	"70.6"	"9.50"	"39.87"	"8"	"1"
"4547672430586866175"	"False"	"High"	"None"	"P0DOX7"	"Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1"	"0.000"	"52.382"	"16"	"3"	"7"	"3"	"214"	"23.4"	"7.17"	"31.06"	"3"	"1"
"3819136565778515185"	"False"	"High"	"IsMasterProtein"	"P13639"	"Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4"	"0.000"	"51.941"	"18"	"12"	"14"	"12"	"858"	"95.3"	"6.83"	"35.89"	"12"	"1"
"1047119725647514999"	"False"	"High"	"IsMasterProtein"	"P23588"	"Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2"	"0.000"	"50.343"	"21"	"12"	"28"	"12"	"611"	"69.1"	"5.73"	"71.65"	"12"	"1"
"-5198752139468277763"	"False"	"High"	"IsMasterProtein"	"Q96PK6"	"RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2"	"0.000"	"49.635"	"20"	"11"	"14"	"11"	"669"	"69.4"	"9.67"	"38.39"	"11"	"1"
"-8572654492564419660"	"False"	"High"	"None"	"P0DPH8"	"Tubulin alpha-3D chain OS=Homo sapiens OX=9606 GN=TUBA3D PE=1 SV=1"	"0.000"	"49.545"	"28"	"8"	"18"	"8"	"450"	"49.9"	"5.10"	"41.16"	"8"	"1"
"-5077095867447308247"	"False"	"High"	"IsMasterProtein"	"Q9BY77"	"Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2"	"0.000"	"49.435"	"31"	"7"	"11"	"7"	"421"	"46.1"	"9.99"	"31.11"	"7"	"1"
"8827666052570193854"	"False"	"High"	"IsMasterProtein"	"Q15056"	"Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5"	"0.000"	"49.392"	"43"	"7"	"24"	"7"	"248"	"27.4"	"7.23"	"74.06"	"7"	"1"
"5335677543697524354"	"False"	"High"	"IsMasterProtein"	"P17844"	"Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1"	"0.000"	"48.377"	"29"	"14"	"25"	"11"	"614"	"69.1"	"8.92"	"52.08"	"14"	"1"
"2214005141303334461"	"False"	"High"	"IsMasterProtein"	"P12956"	"X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2"	"0.000"	"48.190"	"29"	"12"	"15"	"12"	"609"	"69.8"	"6.64"	"29.13"	"12"	"1"
"-933507358187812304"	"False"	"High"	"IsMasterProtein"	"P48634"	"Protein PRRC2A OS=Homo sapiens OX=9606 GN=PRRC2A PE=1 SV=3"	"0.000"	"47.940"	"10"	"12"	"14"	"12"	"2157"	"228.7"	"9.45"	"36.85"	"12"	"1"
"8417235359346522376"	"False"	"High"	"IsMasterProtein"	"Q9NR12"	"PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1"	"0.000"	"47.085"	"30"	"8"	"9"	"8"	"457"	"49.8"	"8.41"	"28.70"	"8"	"1"
"-515522588376759980"	"False"	"High"	"IsMasterProtein"	"O60506"	"Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2"	"0.000"	"46.918"	"19"	"9"	"10"	"7"	"623"	"69.6"	"8.59"	"32.36"	"9"	"1"
"-6490484038664760531"	"False"	"High"	"IsMasterProtein"	"Q13283"	"Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1"	"0.000"	"46.665"	"33"	"10"	"22"	"10"	"466"	"52.1"	"5.52"	"38.91"	"10"	"1"
